embedding_index,paper_id,title,source,year
55,ac445ef80fc8f5a219d32706bc79d5f634d67d92,A Survey of the Application of Explainable Artificial Intelligence in Biomedical Informatics,semantic_scholar,2025
56,5e9ebbba8c5b6101b5aa24456aa492f9f70f348b,SmartScanPCOS: A feature-driven approach to cutting-edge prediction of Polycystic Ovary Syndrome using Machine Learning and Explainable Artificial Intelligence,semantic_scholar,2024
57,05aae448e22849d56418fefb06ca810836e27a69,Trustworthy deep learning for malaria diagnosis using explainable artificial intelligence,semantic_scholar,2025
58,a84c5c27b776ca636f2c5ed120e8fcf7669224b0,Detection of sickle cell disease using deep neural networks and explainable artificial intelligence,semantic_scholar,2024
59,33158e438cc21757869cdb447bcd03af7b79f7e9,The application of explainable artificial intelligence (XAI) in electronic health record research: A scoping review,semantic_scholar,2024
60,c336299b31ff2c667d6025afd09e0ece6544ddc8,Explainable artificial intelligence-driven gestational diabetes mellitus prediction using clinical and laboratory markers,semantic_scholar,2024
61,1943a5ed302536d88b93c8a7a593bd60775bb6bf,Breast Cancer Diagnosis: A Comprehensive Exploration of Explainable Artificial Intelligence (XAI) Techniques,semantic_scholar,2024
62,f3f2a38d41b098f93f7fc6a25067f1b44ebe4a59,Explainable Artificial Intelligence in Quantifying Breast Cancer Factors: Saudi Arabia Context,semantic_scholar,2024
63,eac396535483234223fc3e71dd3e53168ed9b5bd,Predicting lung cancer risk using explainable artificial intelligence,semantic_scholar,2024
64,044a0ddac6aaeaa518e79a1bbab929a97a6c9994,An interpretable schizophrenia diagnosis framework using machine learning and explainable artificial intelligence,semantic_scholar,2024
65,8c28559672361149bf314804e22ed953bfebb6b8,Explainable Artificial Intelligence on Biosignals for Clinical Decision Support,semantic_scholar,2024
66,f28a73962f196ec175816e778e8dd946fdcf13a6,Explainable Artificial Intelligence (XAI) Techniques To Enhance Transparency In Deep Learning Models,semantic_scholar,2024
67,10b694d0ba5bd4537de36f4d113f68627b8b2691,Smart Vision Transparency: Efficient Ocular Disease Prediction Model Using Explainable Artificial Intelligence,semantic_scholar,2024
68,fe70262ce7e8d2f8c753315fee8fefadcacbf569,Explainable artificial intelligence for medical imaging: Review and experiments with infrared breast images,semantic_scholar,2024
69,20f2277a87abb669f55fe3fa67b0d61e036c5552,DeepXplainer: An interpretable deep learning based approach for lung cancer detection using explainable artificial intelligence,semantic_scholar,2023
70,691df1ede73cff8aaab5228368ea1e24807d788c,A Review of Trustworthy and Explainable Artificial Intelligence (XAI),semantic_scholar,2023
71,106bcd930e4606f983507a0bed24ab8c909a572f,"Explainable Artificial Intelligence into Cyber-Physical System Architecture of Smart Cities: Technologies, Challenges, and Opportunities",semantic_scholar,2024
72,d31df8b4069678e2f32790670e2f4702f596f347,Explainable Artificial Intelligence by Genetic Programming: A Survey,semantic_scholar,2023
73,74f0f374003e296536a2c6ed5f50e1e2db13d44c,Investigating the Effects of the COVID-19 Pandemic on Stock Volatility in Sub-Saharan Africa: Analysis Using Explainable Artificial Intelligence,semantic_scholar,2024
74,4785f055980c9b7188b481133eeb2348dca39853,Explainable Artificial Intelligence based ML Models for Heart Disease Prediction,semantic_scholar,2024
75,d499aef63ad41295dd9f164d880f617610da1c1c,"Enhancing Interpretability, Reliability and Trustworthiness: Applications of Explainable Artificial Intelligence in Medical Imaging, Financial Markets, and Sentiment Analysis",semantic_scholar,2024
76,01ece2b963a6d334dfb0ba50ad096567ca1766c1,A Secure and Reliable Framework for Explainable Artificial Intelligence (XAI) in Smart City Applications,semantic_scholar,2024
77,77d942cfa2d4b9266080258943048825e7449ad2,Survey of explainable artificial intelligence techniques for biomedical imaging with deep neural networks,semantic_scholar,2023
78,cd537c93acca44e3962c5246d1b15cb5ea132f9a,Exploring transparency: A comparative analysis of explainable artificial intelligence techniques in retinography images to support the diagnosis of glaucoma,semantic_scholar,2024
79,2b3116944b0d6fbc0e48a9f458d043d16b3556fe,Leveraging Explainable Artificial Intelligence (XAI) Methods Supporting Local and Global Explainability for Smart Grids,semantic_scholar,2024
80,c483beec0afae8d08f011182460095049025b8d1,Opportunities and Challenges in Explainable Artificial Intelligence (XAI): A Survey,semantic_scholar,2020
81,9cf5bf7847155c32c075449fdccfd7f2afe17219,"Explainable artificial intelligence (XAI) in medical imaging: a systematic review of techniques, applications, and challenges",semantic_scholar,2026
82,5c9566d46ccb1ab640df3df4406ee4c05230337e,Towards Industrial Revolution 5.0 and Explainable Artificial Intelligence: Challenges and Opportunities,semantic_scholar,2022
83,8bb95452cdc553246bddb89861b2442fc3cd775d,Tuberculosis detection in chest radiograph using convolutional neural network architecture and explainable artificial intelligence,semantic_scholar,2022
84,734bd61cc2736a8ce0daa45e7d6c868cbdb59fa1,"Utilizing artificial intelligence to predict and analyze socioeconomic, environmental, and healthcare factors driving tuberculosis globally",semantic_scholar,2025
85,2604.16340,How Can Explainable Artificial Intelligence Improve Trust and Transparency in Medical Diagnosis Systems?,arxiv,2026
86,2410.18725,AI Readiness in Healthcare through Storytelling XAI,arxiv,2024
87,2102.01116,Diagnosis of Acute Poisoning Using Explainable Artificial Intelligence,arxiv,2021
88,2206.04800,Explainable Artificial Intelligence (XAI) for Internet of Things: A Survey,arxiv,2022
89,2308.09380,Deciphering knee osteoarthritis diagnostic features with explainable artificial intelligence: A systematic review,arxiv,2023
90,2307.00364,The future of human-centric eXplainable Artificial Intelligence (XAI) is not post-hoc explanations,arxiv,2023
91,2605.02903,A User-Centric Analysis of Explainability in AI-Based Medical Image Diagnosis,arxiv,2026
92,2412.01829,Explainable Artificial Intelligence for Medical Applications: A Review,arxiv,2024
93,2212.07058,Explainable Artificial Intelligence in Retinal Imaging for the detection of Systemic Diseases,arxiv,2022
94,2502.14116,SALTY: Explainable Artificial Intelligence Guided Structural Analysis for Hardware Trojan Detection,arxiv,2025
95,2006.13427,Using Deep Learning and Explainable Artificial Intelligence in Patients' Choices of Hospital Levels,arxiv,2020
96,2402.07915,Research on Older Adults' Interaction with E-Health Interface Based on Explainable Artificial Intelligence,arxiv,2024
97,2312.11507,Explain To Decide: A Human-Centric Review on the Role of Explainable Artificial Intelligence in AI-assisted Decision Making,arxiv,2023
98,2111.00601,Explainable Artificial Intelligence for Smart City Application: A Secure and Trusted Platform,arxiv,2021
99,2208.14937,Explainable Artificial Intelligence Applications in Cyber Security: State-of-the-Art in Research,arxiv,2022
100,2407.17165,Explainable Artificial Intelligence Techniques for Irregular Temporal Classification of Multidrug Resistance Acquisition in Intensive Care Unit Patients,arxiv,2024
101,2410.00366,Easydiagnos: a framework for accurate feature selection for automatic diagnosis in smart healthcare,arxiv,2024
102,2011.03195,Explainable AI meets Healthcare: A Study on Heart Disease Dataset,arxiv,2020
103,2506.13904,A Systematic Review of User-Centred Evaluation of Explainable AI in Healthcare,arxiv,2025
104,2105.12497,Designing ECG Monitoring Healthcare System with Federated Transfer Learning and Explainable AI,arxiv,2021
105,2508.05753,"Explainable AI in Healthcare: to Explain, to Predict, or to Describe?",arxiv,2025
106,2404.12832,COIN: Counterfactual inpainting for weakly supervised semantic segmentation for medical images,arxiv,2024
107,2306.02312,(Un)reasonable Allure of Ante-hoc Interpretability for High-stakes Domains: Transparency Is Necessary but Insufficient for Comprehensibility,arxiv,2023
108,2606.26202,Crime reduction through public healthcare: Interpretable machine learning for mental health service impacts in Greater London,arxiv,2026
109,1911.10104,Towards Quantification of Explainability in Explainable Artificial Intelligence Methods,arxiv,2019
110,2504.08552,Towards an Evaluation Framework for Explainable Artificial Intelligence Systems for Health and Well-being,arxiv,2025
111,2401.17511,Linguistically Communicating Uncertainty in Patient-Facing Risk Prediction Models,arxiv,2024
112,2306.01750,A Survey of Explainable AI and Proposal for a Discipline of Explanation Engineering,arxiv,2023
113,2502.07347,Quantifying Information Loss under Coarse-Grained Partitions: A Discrete Framework for Explainable Artificial Intelligence,arxiv,2025
114,2604.09578,Explainable Planning for Hybrid Systems,arxiv,2026
115,2502.17999,GNN-XAR: A Graph Neural Network for Explainable Activity Recognition in Smart Homes,arxiv,2025
116,2302.10671,Directive Explanations for Monitoring the Risk of Diabetes Onset: Introducing Directive Data-Centric Explanations and Combinations to Support What-If Explorations,arxiv,2023
117,2412.17527,Enhancing Cancer Diagnosis with Explainable & Trustworthy Deep Learning Models,arxiv,2024
118,2309.09917,Evaluation of Human-Understandability of Global Model Explanations using Decision Tree,arxiv,2023
119,2312.10696,An Interpretable Deep Learning Approach for Skin Cancer Categorization,arxiv,2023
120,2102.01998,"Unbox the Black-box for the Medical Explainable AI via Multi-modal and Multi-centre Data Fusion: A Mini-Review, Two Showcases and Beyond",arxiv,2021
121,2308.16113,survex: an R package for explaining machine learning survival models,arxiv,2023
122,2208.08739,Transcending XAI Algorithm Boundaries through End-User-Inspired Design,arxiv,2022
123,2401.17477,Detecting mental disorder on social media: a ChatGPT-augmented explainable approach,arxiv,2024
124,2106.10191,Rational Shapley Values,arxiv,2021
125,2307.05104,A Deep Dive into Perturbations as Evaluation Technique for Time Series XAI,arxiv,2023
126,2309.00252,Interpretable Medical Imagery Diagnosis with Self-Attentive Transformers: A Review of Explainable AI for Health Care,arxiv,2023
127,2509.16685,Towards a Transparent and Interpretable AI Model for Medical Image Classifications,arxiv,2025
128,2408.05239,"The Literature Review Network: An Explainable Artificial Intelligence for Systematic Literature Reviews, Meta-analyses, and Method Development",arxiv,2024
129,2603.15373,GradCFA: A Hybrid Gradient-Based Counterfactual and Feature Attribution Explanation Algorithm for Local Interpretation of Neural Networks,arxiv,2026
130,2508.09639,UbiQTree: Uncertainty Quantification in XAI with Tree Ensembles,arxiv,2025
131,1905.11474,"Infusing domain knowledge in AI-based ""black box"" models for better explainability with application in bankruptcy prediction",arxiv,2019
132,2504.19027,DiCE-Extended: A Robust Approach to Counterfactual Explanations in Machine Learning,arxiv,2025
133,2302.06609,Invisible Users: Uncovering End-Users' Requirements for Explainable AI via Explanation Forms and Goals,arxiv,2023
134,2303.06640,Challenges facing the explainability of age prediction models: case study for two modalities,arxiv,2023
135,2403.09410,XCoOp: Explainable Prompt Learning for Computer-Aided Diagnosis via Concept-guided Context Optimization,arxiv,2024
136,2603.06485,PONTE: Personalized Orchestration for Natural Language Trustworthy Explanations,arxiv,2026
137,2604.09799,Explainable Human Activity Recognition: A Unified Review of Concepts and Mechanisms,arxiv,2026
138,2512.07178,ContextualSHAP : Enhancing SHAP Explanations Through Contextual Language Generation,arxiv,2025
139,2305.05525,Exploring a Gradient-based Explainable AI Technique for Time-Series Data: A Case Study of Assessing Stroke Rehabilitation Exercises,arxiv,2023
140,2406.13584,FreqRISE: Explaining time series using frequency masking,arxiv,2024
141,2403.04130,An Explainable AI Framework for Artificial Intelligence of Medical Things,arxiv,2024
142,2109.15125,Visualisation to Explain Personal Health Trends in Smart Homes,arxiv,2021
143,2608.27821,Actionable CBFI: Integrating Structural Decomposition and Causal Counterfactual Recourse for Tabular Machine Learning,arxiv,2026
144,2403.15684,The Limits of Perception: Analyzing Inconsistencies in Saliency Maps in XAI,arxiv,2024
145,2502.02618,Deep Learning-Based Facial Expression Recognition for the Elderly: A Systematic Review,arxiv,2025
146,2401.15840,Emergent Explainability: Adding a causal chain to neural network inference,arxiv,2024
147,2408.00753,A deep learning-enabled smart garment for accurate and versatile sleep conditions monitoring in daily life,arxiv,2024
148,2510.19514,From Prototypes to Sparse ECG Explanations: SHAP-Driven Counterfactuals for Multivariate Time-Series Multi-class Classification,arxiv,2025
149,2501.06077,Explainable Federated Bayesian Causal Inference and Its Application in Advanced Manufacturing,arxiv,2025
150,2608.07091,Human-Centered Explainable AI for TinyML Edge Devices: A Pareto-Based Selection Framework with LLM-Guided Design,arxiv,2026
151,2411.14471,Leveraging Gene Expression Data and Explainable Machine Learning for Enhanced Early Detection of Type 2 Diabetes,arxiv,2024
152,2403.09752,Explainable Machine Learning-Based Security and Privacy Protection Framework for Internet of Medical Things Systems,arxiv,2024
153,2412.00800,A Comprehensive Guide to Explainable AI: From Classical Models to LLMs,arxiv,2024
154,2205.04599,Perception-Aligned AI Outputs: End-to-End Visual Prediction for Uncertainty Communication in Clinical Decision-Making,arxiv,2022
155,2404.03892,Enhancing Breast Cancer Diagnosis in Mammography: Evaluation and Integration of Convolutional Neural Networks and Explainable AI,arxiv,2024
156,2501.16357,EVolutionary Independent DEtermiNistiC Explanation,arxiv,2025
157,2511.00246,Melanoma Classification Through Deep Ensemble Learning and Explainable AI,arxiv,2025
158,2504.04549,Opening the black box of deep learning: Validating the statistical association between explainable artificial intelligence (XAI) and clinical domain knowledge in fundus image-based glaucoma diagnosis,arxiv,2025
159,2308.11446,Exploration of the Rashomon Set Assists Trustworthy Explanations for Medical Data,arxiv,2023
160,2310.01828,Trainable Noise Model as an XAI evaluation method: application on Sobol for remote sensing image segmentation,arxiv,2023
161,2404.13419,Reconciling Explanations in Multi-Model Systems through Probabilistic Argumentation,arxiv,2024
162,2505.08198,SIM-Shapley: A Stable and Computationally Efficient Approach to Shapley Value Approximation,arxiv,2025
163,2011.04049,FairLens: Auditing Black-box Clinical Decision Support Systems,arxiv,2020
164,2311.14139,Machine Learning For An Explainable Cost Prediction of Medical Insurance,arxiv,2023
165,2307.07603,Gastrointestinal Disease Classification through Explainable and Cost-Sensitive Deep Neural Networks with Supervised Contrastive Learning,arxiv,2023
166,2606.05710,Explainable AI-Driven Cyber Risk Analytics and Model Reliability Assessment for Intelligent Governance of U.S. Critical Infrastructure: An XGBoost and SHAP-Based Intrusion Detection Framework,arxiv,2026
167,2212.13261,"Explainable AI for Bioinformatics: Methods, Tools, and Applications",arxiv,2022
168,2511.08361,From Confusion to Clarity: ProtoScore -- A Framework for Evaluating Prototype-Based XAI,arxiv,2025
169,2506.07228,Transfer Learning and Explainable AI for Brain Tumor Classification: A Study Using MRI Data from Bangladesh,arxiv,2025
170,2408.12420,Dataset | Mindset = Explainable AI | Interpretable AI,arxiv,2024
171,2012.00093,Why model why? Assessing the strengths and limitations of LIME,arxiv,2020
172,2501.12706,REX: Causal discovery based on machine learning and explainability techniques,arxiv,2025
173,2306.11985,Evaluation of Popular XAI Applied to Clinical Prediction Models: Can They be Trusted?,arxiv,2023
174,2503.06463,AXAI-CDSS : An Affective Explainable AI-Driven Clinical Decision Support System for Cannabis Use,arxiv,2025
