gap_id,paper_id,title,evidence_type,evidence_text,is_direct_quote
GAP-02,c9526eabe882263c8e54db79b384aa3b74ac3045,A systematic review of explainable artificial intelligence methods for speech-based cognitive decline detection,explicit limitation,"This challenge is compounded by regulatory requirements, including GDPR mandates for explainability and medical device regulations emphasizing AI transparency.",True
GAP-02,df9b9ba53bf8e2eb651f614510b80d986002bf8d,Transformative impact of explainable artificial intelligence: bridging complexity and trust,explicit limitation,"The generic and prominent key challenges in terms of trade-offs between accuracy and interpretability, the existing scalability issues, and ethical considerations were focused.",True
GAP-02,fb4b16bb22b8898c118412f32fad5601741fb05e,A scoping review of explainable artificial intelligence in sports science,explicit future work,"To increase real-world impact, future work should explore comparative evaluations of XAI techniques, domain-specific explanation frameworks, and user-centered approaches that align with the needs of coaches, athletes, and analysts.",True
GAP-02,d49abcd4c3cf05df5aae535bb90e8e805c00aff2,"Explainable artificial intelligence: A survey of needs, techniques, applications, and future direction",explicit limitation,"Explainable Artificial Intelligence (XAI) addresses these challenges by providing explanations for how these models make decisions and predictions, ensuring transparency, accountability, and fairness.",True
GAP-02,bec1eac7ade48f5a9e40d05ce95a54e272eecfb0,Unveiling the Algorithm: The Role of Explainable Artificial Intelligence in Modern Surgery,explicit limitation,"Yet, significant challenges, such as the complexity and opacity of many AI models (particularly deep learning), transparency, bias, data sharing, and equitable deployment, must be surpassed to achieve clinical trust, ethical use, and regulatory approval of AI algorithms in healthcare.",True
GAP-02,556991c703ebe96424f8698497bd6a6e7b2fde1d,Explainable Artificial Intelligence (Al) through human-AI collaborative frameworks: Quantifying trust and interpretability in high-stakes decisions,explicit limitation,"However, achieving a balance between complex, high-performing AI models and the need for interpretability presents significant challenges.",True
GAP-02,959e56c8323c2d1b27c9b5bb87062398264cd36f,Exploring the Landscape of Explainable Artificial Intelligence (XAI): A Systematic Review of Techniques and Applications,explicit limitation,"This challenge has led to the development of explainable artificial intelligence (XAI), which aims to enhance user understanding and trust by providing clear explanations of AI decisions and processes.",True
GAP-02,59e6f76680499eb87e53c37daed00f4baa166c28,The ethics of non-explainable artificial intelligence: an overview for clinical nurses.,explicit limitation,"However, the integration of non-explainable AI (NXAI) - which operates without fully transparent, interpretable mechanisms - presents ethical challenges related to accountability, autonomy, and trust.",True
GAP-02,ac445ef80fc8f5a219d32706bc79d5f634d67d92,A Survey of the Application of Explainable Artificial Intelligence in Biomedical Informatics,explicit limitation,"Our findings highlight a growing interest in XAI, particularly in medical imaging, yet reveal persistent challenges in clinical adoption, including issues of trust, interpretability, and integration into decision-making workflows.",True
GAP-02,05aae448e22849d56418fefb06ca810836e27a69,Trustworthy deep learning for malaria diagnosis using explainable artificial intelligence,explicit limitation,"The proposed AI-based diagnostic framework thus demonstrates high accuracy, interpretability, and generalization, representing a scalable solution for malaria detection in resource-limited healthcare settings.",True
GAP-02,eac396535483234223fc3e71dd3e53168ed9b5bd,Predicting lung cancer risk using explainable artificial intelligence,explicit limitation,"Machine learning has shown promise in predicting lung cancer risk, but the lack of transparency and interpretability in black-box models impedes the understanding of factors that contribute to risk.",True
GAP-02,f28a73962f196ec175816e778e8dd946fdcf13a6,Explainable Artificial Intelligence (XAI) Techniques To Enhance Transparency In Deep Learning Models,explicit limitation,"Despite the promise of Explainable Artificial Intelligence (XAI) in promoting transparency, challenges persist, including standardization of interpretability metrics and some users may have difficulty associating their rationales to transparent forms.",True
GAP-02,10b694d0ba5bd4537de36f4d113f68627b8b2691,Smart Vision Transparency: Efficient Ocular Disease Prediction Model Using Explainable Artificial Intelligence,explicit limitation,"The lack of transparency in the AI models may hinder the confidence and trust of the doctors and the patients, as well as their perception of the AI and its abilities.",True
GAP-02,d499aef63ad41295dd9f164d880f617610da1c1c,"Enhancing Interpretability, Reliability and Trustworthiness: Applications of Explainable Artificial Intelligence in Medical Imaging, Financial Markets, and Sentiment Analysis",explicit limitation,"It addresses the challenge of understanding complex machine learning and deep learning models, ensuring transparency, interpretability, and accountability.",True
GAP-02,cd537c93acca44e3962c5246d1b15cb5ea132f9a,Exploring transparency: A comparative analysis of explainable artificial intelligence techniques in retinography images to support the diagnosis of glaucoma,explicit limitation,"Although these models have achieved significant results, their lack of explainability has limited widespread adoption in clinical practice.",True
GAP-02,c483beec0afae8d08f011182460095049025b8d1,Opportunities and Challenges in Explainable Artificial Intelligence (XAI): A Survey,explicit limitation,"However, the black-box nature of deep neural networks challenges its use in mission critical applications, raising ethical and judicial concerns inducing lack of trust.",True
GAP-02,c483beec0afae8d08f011182460095049025b8d1,Opportunities and Challenges in Explainable Artificial Intelligence (XAI): A Survey,explicit limitation,"After explaining each category of algorithms and approaches in detail, we then evaluate the explanation maps generated by eight XAI algorithms on image data, discuss the limitations of this approach, and provide potential future directions to improve XAI evaluation.",True
GAP-02,2206.04800,Explainable Artificial Intelligence (XAI) for Internet of Things: A Survey,explicit limitation,"Recently, several number of XAI models have been to address the issues surrounding by lack of interpretability and explainability of black-box models in various application areas such as healthcare, military, energy, financial and industrial domains.",True
GAP-02,2308.09380,Deciphering knee osteoarthritis diagnostic features with explainable artificial intelligence: A systematic review,explicit limitation,"Existing artificial intelligence (AI) models for diagnosing knee osteoarthritis (OA) have faced criticism for their lack of transparency and interpretability, despite achieving medical-expert-like performance.",True
GAP-02,2312.11507,Explain To Decide: A Human-Centric Review on the Role of Explainable Artificial Intelligence in AI-assisted Decision Making,explicit limitation,"Moreover, because of the black-box nature of these models, it is frequently difficult for the end user to comprehend the models' outcomes and underlying processes to trust and use the model outcome to make a decision.",True
GAP-02,2111.00601,Explainable Artificial Intelligence for Smart City Application: A Secure and Trusted Platform,explicit limitation,"Finally, it has presented some commercial XAI platforms that offer explainability over traditional AI technologies before presenting future challenges and opportunities.",True
GAP-02,2410.00366,Easydiagnos: a framework for accurate feature selection for automatic diagnosis in smart healthcare,explicit limitation,"However, security, explainability, robustness, and performance optimization challenges remain critical barriers to widespread adoption in clinical environments.",True
GAP-02,2011.03195,Explainable AI meets Healthcare: A Study on Heart Disease Dataset,explicit limitation,"With the increasingly indispensable role of AI in healthcare, there are growing concerns over the lack of transparency and explainability in addition to potential bias encountered by predictions of the model.",True
GAP-02,2306.02312,(Un)reasonable Allure of Ante-hoc Interpretability for High-stakes Domains: Transparency Is Necessary but Insufficient for Comprehensibility,explicit limitation,"Ante-hoc interpretability has become the holy grail of explainable artificial intelligence for high-stakes domains such as healthcare; however, this notion is elusive, lacks a widely-accepted definition and depends on the operational context.",True
GAP-02,1911.10104,Towards Quantification of Explainability in Explainable Artificial Intelligence Methods,explicit limitation,"In fact, the quantification of explainability is an open challenge.",True
GAP-02,2102.01998,"Unbox the Black-box for the Medical Explainable AI via Multi-modal and Multi-centre Data Fusion: A Mini-Review, Two Showcases and Beyond",explicit limitation,"Consequently, our confidence in AI systems can be hindered by the lack of explainability in these black-box models.",True
GAP-02,2102.01998,"Unbox the Black-box for the Medical Explainable AI via Multi-modal and Multi-centre Data Fusion: A Mini-Review, Two Showcases and Beyond",explicit limitation,The insufficient explainability and transparency in most existing AI systems can be one of the major reasons that successful implementation and integration of AI tools into routine clinical practice are uncommon.,True
GAP-02,1905.11474,"Infusing domain knowledge in AI-based ""black box"" models for better explainability with application in bankruptcy prediction",explicit limitation,"Although ""black box"" models such as Artificial Neural Networks, Support Vector Machines, and Ensemble Approaches continue to show superior performance in many disciplines, their adoption in the sensitive disciplines (e.g., finance, healthcare) is questionable due to the lack of interpretability and explainability of the model.",True
GAP-02,1905.11474,"Infusing domain knowledge in AI-based ""black box"" models for better explainability with application in bankruptcy prediction",explicit limitation,"In fact, future adoption of ""black box"" models is difficult because of the recent rule of ""right of explanation"" by the European Union where a user can ask for an explanation behind an algorithmic decision, and the newly proposed bill by the US government, the ""Algorithmic Accountability Act"", which would require companies to assess their machine learning systems for bias and discrimination and take corrective measures.",True
GAP-02,2504.19027,DiCE-Extended: A Robust Approach to Counterfactual Explanations in Machine Learning,explicit limitation,"To address these challenges, we introduce DiCE-Extended, an enhanced CF explanation framework that integrates multi-objective optimization techniques to improve robustness while maintaining interpretability.",True
GAP-02,2604.09799,Explainable Human Activity Recognition: A Unified Review of Concepts and Mechanisms,explicit limitation,"The review examines how these methods address the temporal, multimodal, and semantic complexities of HAR, and summarize their interpretability objectives, explanation targets, and limitations.",True
GAP-02,2109.15125,Visualisation to Explain Personal Health Trends in Smart Homes,explicit limitation,Maintaining trust presents an XAI challenge because the recommendations are not easily interpretable.,True
GAP-02,2510.19514,From Prototypes to Sparse ECG Explanations: SHAP-Driven Counterfactuals for Multivariate Time-Series Multi-class Classification,explicit limitation,"Addressing the challenges of explainability of state-of-the-art models, we propose a prototype-driven framework for generating sparse counterfactual explanations tailored to 12-lead ECG classification models.",True
GAP-02,2412.00800,A Comprehensive Guide to Explainable AI: From Classical Models to LLMs,explicit limitation,"It explores interpretability in traditional models such as Decision Trees, Linear Regression, and Support Vector Machines, alongside the challenges of explaining deep learning architectures like CNNs, RNNs, and Large Language Models (LLMs), including BERT, GPT, and T5.",True
GAP-02,2404.03892,Enhancing Breast Cancer Diagnosis in Mammography: Evaluation and Integration of Convolutional Neural Networks and Explainable AI,explicit limitation,"The Deep learning (DL) models for diagnosing breast cancer from mammographic images often operate as ""black boxes"", making it difficult for healthcare professionals to trust and understand their decision-making processes.",True
GAP-02,2511.00246,Melanoma Classification Through Deep Ensemble Learning and Explainable AI,explicit limitation,"Because of the black box operation's shortcomings in DL models' decisions, there is a lack of reliability and trust in the outcomes.",True
GAP-02,2404.13419,Reconciling Explanations in Multi-Model Systems through Probabilistic Argumentation,explicit limitation,"Despite the progress made in developing explanation generation techniques for individual machine learning (ML) models, significant challenges remain in achieving coherent and comprehensive explanations in multi-model systems.",True
GAP-02,2404.13419,Reconciling Explanations in Multi-Model Systems through Probabilistic Argumentation,explicit limitation,This paper addresses these challenges by focusing on the explanation reconciliation problem (ERP) within multi-model systems.,True
GAP-02,2212.13261,"Explainable AI for Bioinformatics: Methods, Tools, and Applications",explicit limitation,"This lack of transparency can be a challenge for both end-users and decision-makers, as well as AI developers.",True
GAP-02,2506.07228,Transfer Learning and Explainable AI for Brain Tumor Classification: A Study Using MRI Data from Bangladesh,explicit limitation,"The integration of XAI enhanced the system's transparency and stability, rendering it more appropriate for clinical application in resource-limited environments such as Bangladesh.",True
GAP-02,2306.11985,Evaluation of Popular XAI Applied to Clinical Prediction Models: Can They be Trusted?,explicit limitation,"Although various methods of explainable artificial intelligence (XAI) have been suggested, there is a lack of literature that delves into their practicality and assesses them based on criteria that could foster trust in clinical environments.",True
GAP-02,2503.06463,AXAI-CDSS : An Affective Explainable AI-Driven Clinical Decision Support System for Cannabis Use,explicit limitation,"By providing deeper interpretability of the XAI outputs using Large Language Models (LLMs), we provide users with more personalized and accessible insights to overcome the challenges posed by AI's ""black box"" nature.",True
GAP-03,d49abcd4c3cf05df5aae535bb90e8e805c00aff2,"Explainable artificial intelligence: A survey of needs, techniques, applications, and future direction",explicit limitation,"Explainable Artificial Intelligence (XAI) addresses these challenges by providing explanations for how these models make decisions and predictions, ensuring transparency, accountability, and fairness.",True
GAP-03,bec1eac7ade48f5a9e40d05ce95a54e272eecfb0,Unveiling the Algorithm: The Role of Explainable Artificial Intelligence in Modern Surgery,explicit limitation,"Yet, significant challenges, such as the complexity and opacity of many AI models (particularly deep learning), transparency, bias, data sharing, and equitable deployment, must be surpassed to achieve clinical trust, ethical use, and regulatory approval of AI algorithms in healthcare.",True
GAP-03,bec1eac7ade48f5a9e40d05ce95a54e272eecfb0,Unveiling the Algorithm: The Role of Explainable Artificial Intelligence in Modern Surgery,explicit limitation,"Model bias, overfitting, and user interface design are key challenges that need to be overcome and will be explored in this review to achieve the integration of XAI into the surgical field.",True
GAP-03,556991c703ebe96424f8698497bd6a6e7b2fde1d,Explainable Artificial Intelligence (Al) through human-AI collaborative frameworks: Quantifying trust and interpretability in high-stakes decisions,explicit limitation,"This explores how human-AI collaborative frameworks can address these challenges, enhancing the effectiveness, fairness, and trustworthiness of AI systems in high-stakes decision-making environments.",True
GAP-03,33158e438cc21757869cdb447bcd03af7b79f7e9,The application of explainable artificial intelligence (XAI) in electronic health record research: A scoping review,explicit limitation,This review identifies the increasing use of XAI in tabular EHR research and highlights a deficiency in the reporting of methods and a lack of critical appraisal of validity and robustness.,True
GAP-03,d499aef63ad41295dd9f164d880f617610da1c1c,"Enhancing Interpretability, Reliability and Trustworthiness: Applications of Explainable Artificial Intelligence in Medical Imaging, Financial Markets, and Sentiment Analysis",explicit limitation,"Challenges such as scalability issues and ethical considerations, including biases and fairness, are discussed.",True
GAP-03,2412.01829,Explainable Artificial Intelligence for Medical Applications: A Review,explicit limitation,"While these well-established applications have significantly assisted in medical field diagnoses, clinical decision-making, and management, collaboration between the medical and AI sectors faces an urgent challenge: How to substantiate the reliability of decision-making?",True
GAP-03,2410.00366,Easydiagnos: a framework for accurate feature selection for automatic diagnosis in smart healthcare,explicit limitation,"However, security, explainability, robustness, and performance optimization challenges remain critical barriers to widespread adoption in clinical environments.",True
GAP-03,2011.03195,Explainable AI meets Healthcare: A Study on Heart Disease Dataset,explicit limitation,"With the increasingly indispensable role of AI in healthcare, there are growing concerns over the lack of transparency and explainability in addition to potential bias encountered by predictions of the model.",True
GAP-03,2401.17511,Linguistically Communicating Uncertainty in Patient-Facing Risk Prediction Models,explicit limitation,This paper addresses the unique challenges associated with uncertainty quantification in AI models when applied to patient-facing contexts within healthcare.,True
GAP-03,2508.09639,UbiQTree: Uncertainty Quantification in XAI with Tree Ensembles,explicit limitation,"The epistemic uncertainty, which arises from a lack of data.",True
GAP-03,1905.11474,"Infusing domain knowledge in AI-based ""black box"" models for better explainability with application in bankruptcy prediction",explicit limitation,"In fact, future adoption of ""black box"" models is difficult because of the recent rule of ""right of explanation"" by the European Union where a user can ask for an explanation behind an algorithmic decision, and the newly proposed bill by the US government, the ""Algorithmic Accountability Act"", which would require companies to assess their machine learning systems for bias and discrimination and take corrective measures.",True
GAP-03,2504.19027,DiCE-Extended: A Robust Approach to Counterfactual Explanations in Machine Learning,explicit limitation,"A widely adopted framework, Diverse Counterfactual Explanations (DiCE), emphasizes diversity but lacks robustness, making CF explanations sensitive to perturbations and domain constraints.",True
GAP-03,2504.19027,DiCE-Extended: A Robust Approach to Counterfactual Explanations in Machine Learning,explicit limitation,"To address these challenges, we introduce DiCE-Extended, an enhanced CF explanation framework that integrates multi-objective optimization techniques to improve robustness while maintaining interpretability.",True
GAP-03,2511.00246,Melanoma Classification Through Deep Ensemble Learning and Explainable AI,explicit limitation,"Because of the black box operation's shortcomings in DL models' decisions, there is a lack of reliability and trust in the outcomes.",True
GAP-03,2606.05710,Explainable AI-Driven Cyber Risk Analytics and Model Reliability Assessment for Intelligent Governance of U.S. Critical Infrastructure: An XGBoost and SHAP-Based Intrusion Detection Framework,explicit limitation,"The growing cyber threat environment, such as Distributed Denial of Service (DDos) attacks, botnets, ransomware, and Advanced Persistent Threats (APTs) pose significant challenges to infrastructure resilience, cyber security reliability, and governance trustworthiness.",True
GAP-04,cf7bd780cc164e913ca9a40753fdb7169bbf826a,A Review of Explainable Artificial Intelligence from the Perspectives of Challenges and Opportunities,explicit limitation,"Special attention is given to various challenges of XAI, such as no universal definition, trade-off between accuracy and interpretability, and lack of standardized evaluation metrics.",True
GAP-04,cf7bd780cc164e913ca9a40753fdb7169bbf826a,A Review of Explainable Artificial Intelligence from the Perspectives of Challenges and Opportunities,explicit future work,"We conclude by outlining the future research directions of human-centric design, interactive explanation, and standardized evaluation frameworks.",True
GAP-04,fb4b16bb22b8898c118412f32fad5601741fb05e,A scoping review of explainable artificial intelligence in sports science,explicit limitation,The findings highlight a lack of methodological diversity and limited validation of explanations with domain experts or practitioners.,True
GAP-04,11112229889edb04633731b4f218a8d56e2a15ee,Evaluating Explainable Artificial Intelligence (XAI) techniques in chest radiology imaging through a human-centered Lens,explicit limitation,"However, XAI systems face challenges in gaining acceptance within the healthcare sector, mainly due to technical hurdles in utilizing these systems in practice and the lack of human-centered evaluation/validation.",True
GAP-04,346f01d78a4ce4a47781eb49ae044668d7b50fa7,"Explainable Artificial Intelligence: A Comprehensive Review of Techniques, Applications, and Emerging Trends",explicit limitation,"Persistent challenges, including inconsistent terminology, subjective evaluation, and adversarial vulnerabilities, are examined.",True
GAP-04,33158e438cc21757869cdb447bcd03af7b79f7e9,The application of explainable artificial intelligence (XAI) in electronic health record research: A scoping review,explicit limitation,"To address this, Explainable Artificial Intelligence (XAI) methods are proposed, but a comprehensive evaluation of their effectiveness is currently limited.",True
GAP-04,c483beec0afae8d08f011182460095049025b8d1,Opportunities and Challenges in Explainable Artificial Intelligence (XAI): A Survey,explicit limitation,"After explaining each category of algorithms and approaches in detail, we then evaluate the explanation maps generated by eight XAI algorithms on image data, discuss the limitations of this approach, and provide potential future directions to improve XAI evaluation.",True
GAP-04,2307.05104,A Deep Dive into Perturbations as Evaluation Technique for Time Series XAI,explicit limitation,Our results demonstrate that the perturbation analysis approach can effectively evaluate the quality of attributions and provide insights into the strengths and limitations of XAI techniques.,True
GAP-04,2604.09799,Explainable Human Activity Recognition: A Unified Review of Concepts and Mechanisms,explicit limitation,"In addition, we discuss current evaluation practices, highlight key challenges in achieving reliable and deployable XAI-HAR, and outline directions toward trustworthy activity recognition systems that better support human understanding and decision-making.",True
GAP-04,2510.19514,From Prototypes to Sparse ECG Explanations: SHAP-Driven Counterfactuals for Multivariate Time-Series Multi-class Classification,explicit limitation,"We evaluate three variants of our approach, Original, Sparse, and Aligned Sparse, with class-specific performance ranging from 98.9% validity for myocardial infarction (MI) to challenges with hypertrophy (HYP) detection (13.2%).",True
